"skills","average_salary"
"asana","215477.38"
"airtable","201142.86"
"redhat","189500.00"
"watson","187417.14"
"elixir","170823.56"
"lua","170500.00"
"slack","168218.76"
"solidity","166979.90"
"ruby on rails","166500.00"
"rshiny","166436.21"
"notion","165636.36"
"objective-c","164500.00"
"neo4j","163971.09"
"dplyr","163111.06"
"hugging face","160867.72"
"dynamodb","160581.13"
"haskell","157500.00"
"unity","156881.25"
"airflow","155878.41"
"codecommit","154683.52"
"unreal","153278.33"
"theano","153133.41"
"zoom","151676.89"
"bigquery","149291.75"
"atlassian","148714.59"
